,name,step,client,treeHeight,numConditions,executionTime_mean,executionTime_std,peakMemoryUsage_mean,peakMemoryUsage_std,meanMemoryUsage_mean,meanMemoryUsage_std,stdMemoryUsage_mean,stdMemoryUsage_std,mode,executionTime_meanS,peakMemoryUsage_meanM,peakMemoryUsage_meanG,provePeakMemoryG,verifyPeakMemoryG,verifyTimeS,proveTimesS
84,SingleProof,prove,nargo,32,5,104493.0,4643.46002459373,10993314474.666666,8431170552.463013,3111782000.097746,1990271456.133721,2759897802.2795205,2254449147.7273655,SingleProof,104.493,10484.041666666666,10.238321940104166,10.238321940104166,10.238321940104166,104.493,104.493
114,SingleProof,prove,noir_rs,32,5,171327.0,,7791242240.0,,6067158634.975712,,3991751883.7298865,,SingleProof,171.327,7430.3076171875,7.256159782409668,7.256159782409668,7.256159782409668,171.327,171.327
85,SingleProof,prove,nargo,32,6,132594.0,10620.780244407659,10593331882.666666,7919119605.040023,3386645961.43627,2195051885.732624,3172797973.0562115,2598572484.0619054,SingleProof,132.594,10102.588541666666,9.865809122721354,9.865809122721354,9.865809122721354,132.594,132.594
115,SingleProof,prove,noir_rs,32,6,181686.66666666666,1129.3805086565565,10083401728.0,66116378.98056886,5944487867.750038,71865911.40106142,4183972696.0898576,38407979.662548676,SingleProof,181.68666666666667,9616.28125,9.390899658203125,9.390899658203125,9.390899658203125,181.68666666666667,181.68666666666667
86,SingleProof,prove,nargo,32,7,166673.0,16279.6318140184,13142305450.666666,10025111915.2376,4371896668.643379,2764993791.7534814,4055223571.269419,3420862759.362231,SingleProof,166.673,12533.479166666666,12.239725748697916,12.239725748697916,12.239725748697916,166.673,166.673
116,SingleProof,prove,noir_rs,32,7,190582.33333333334,1834.0044529208003,10351531349.333334,6378372.074356952,5850649637.411839,1236200.547114164,4384978023.793317,27538893.012807902,SingleProof,190.58233333333334,9871.989583333334,9.640614827473959,9.640614827473959,9.640614827473959,190.58233333333334,190.58233333333334
87,SingleProof,prove,nargo,32,8,203338.66666666666,25879.166492244945,13576219306.666666,10014971747.822428,4635842465.673154,2975334125.199753,4231043858.2222342,3522627677.9073005,SingleProof,203.33866666666665,12947.291666666666,12.643839518229166,12.643839518229166,12.643839518229166,203.33866666666665,203.33866666666665
117,SingleProof,prove,noir_rs,32,8,201833.33333333334,690.437783825109,10545719978.666666,18708134.32908143,5677831031.3055105,7469558.72393853,4539270360.399503,17862045.542265832,SingleProof,201.83333333333334,10057.182291666666,9.821467081705729,9.821467081705729,9.821467081705729,201.83333333333334,201.83333333333334
88,SingleProof,prove,nargo,32,9,248340.33333333334,32840.39197898425,13309394944.0,9758173206.15639,4691315020.081315,2959839102.2085624,3791406144.320938,3199526719.151967,SingleProof,248.34033333333335,12692.828125,12.395339965820312,12.395339965820312,12.395339965820312,248.34033333333335,248.34033333333335
118,SingleProof,prove,noir_rs,32,9,212943.66666666666,203.787470992044,11006853120.0,66070131.07620768,5841503777.58805,48119596.12117856,4659803093.476287,31404040.80903415,SingleProof,212.94366666666664,10496.953125,10.250930786132812,10.250930786132812,10.250930786132812,212.94366666666664,212.94366666666664
